"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"2629",2629,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","21-30 singers",".",".",".","Head/face & shoulders","Torso","Torso",".",".",".",".",".",".","Solo listener","All ages",".","Female",".","Patients/Sick People",".","Idiophone",".","."
"2630",2630,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Special: Priests/religious figures","Community (mixed-gender groups, includes ""village"")",".",".","."
"2631",2631,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Male",".","Special: Priests/religious figures",".","Idiophone",".","."
"2632",2632,"Death (burials, funerals, mourning)",".",".","Sickness, medical care, and shamans",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Male","Both married & unmarried","Special: Priests/religious figures","Community (mixed-gender groups, includes ""village"")","Idiophone",".","."
"2633",2633,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone","Idiophone","."
"2634",2634,"Sleeping","Food consumption",".","Location","Socialization and education",".","Socialization and education",".",".",".",".",".",".",".",".",">10 hours","3-7 days","Solo singer","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"2635",2635,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","6-10 singers",".",".","Circle",".","Head/face & shoulders","Torso",".",".",".",".",".",".",".",".",".",".","Unmarried","Patients/Sick People","Children (general, includes ""boys"" or ""girls"")","Idiophone",".","."
"2636",2636,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Elder",".",".",".",".","Torso",".",".",".",".",".",".","2-5 listeners","All ages",".","Both sexes","Both married & unmarried","Children (general, includes ""boys"" or ""girls"")","Community (mixed-gender groups, includes ""village"")","Idiophone","Idiophone","."
"2637",2637,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Dance","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Sickness, medical care, and shamans",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","6-10 singers",".",".","Circle",".","Head/face & shoulders","Torso",".",".",".",".",".",".",".",".",".",".","Unmarried","Patients/Sick People","Children (general, includes ""boys"" or ""girls"")","Idiophone",".","."
"2638",2638,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","2-5 singers",".",".",".",".","Torso",".",".",".",".",".",".",".","2-5 listeners","Adult",".",".",".","Adults",".","Idiophone","Idiophone","."
"2639",2639,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".","Both sexes","Unmarried","Other group (incl. proper names)",".",".",".",".","Both sexes","Unmarried","Children (general, includes ""boys"" or ""girls"")",".",".",".","."
"2640",2640,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".","Multiple lines",".",".",".",".",".","Both sexes","Unmarried","Other group (incl. proper names)",".",".",".",".","Both sexes","Unmarried","Children (general, includes ""boys"" or ""girls"")",".",".",".","."
"2641",2641,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early evening (1700 to 1900) (includes sunset)","1-10 hours","No recurrence","Multiple singers (number unknown)","Adolescent/young adult",".","Line (or row)",".",".",".",".",".","Both sexes","Unmarried","Other group (incl. proper names)",".",".",".",".",".",".",".",".",".",".","."
"2642",2642,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".","Line (or row)",".",".",".",".",".","Both sexes","Unmarried","Other group (incl. proper names)",".",".",".",".",".",".",".",".",".",".","."
"2643",2643,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Drives and emotions",".",".",".",".",".",".","Early morning (0400 to 0700) (includes daybreak, dawn)","Early evening (1700 to 1900) (includes sunset)","1-10 hours","3-7 days","Multiple singers (number unknown)",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2644",2644,"Flora",".",".","Spectacles",".",".","Flora",".",".",".",".",".",".",".",".",">10 hours","No recurrence",".",".",".",".",".","Torso",".",".","1",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"2645",2645,"Flora",".",".","Spectacles",".",".","Flora",".",".",".",".",".",".",".",".",">10 hours","No recurrence","Solo singer",".",".",".",".","Butt & groin",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"2646",2646,".",".",".",".",".",".",".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2647",2647,"Annual cycle",".",".",".",".",".","Annual cycle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"2648",2648,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Aerophone",".","."
"2649",2649,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2650",2650,"Puberty and initiation",".",".","Cultural identity and pride","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early evening (1700 to 1900) (includes sunset)",".",".","Multiple singers (number unknown)","Elder",".",".","Entire body","Head/face & shoulders",".",".",".","Female",".","Initiates","Adults",".",".",".",".",".",".",".",".",".","."
"2651",2651,"Death (burials, funerals, mourning)","Disasters",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone","Idiophone","."
"2652",2652,".",".",".","Intra-community relations",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Evening (1900 to 2200)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Male",".",".",".","Multiple singers (number unknown)","Adult","Child","Both sexes","Both married & unmarried","Adults","Children (general, includes ""boys"" or ""girls"")",".",".","."
"2653",2653,".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".","Head/face & shoulders",".",".",".","Male",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2654",2654,"Disasters",".",".","Intra-community relations",".",".","Ideas about nature and people",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2655",2655,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early morning (0400 to 0700) (includes daybreak, dawn)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".","Multiple singers (number unknown)","Adult","Child","Both sexes","Both married & unmarried","Adults","Children (general, includes ""boys"" or ""girls"")",".",".","."
"2656",2656,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".","Aerophone","Membranophone","."
"2657",2657,"Death (burials, funerals, mourning)","Hunting and trapping",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"2658",2658,".",".",".",".",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2659",2659,".",".",".",".",".",".","Interpersonal relations (includes love)","Humor",".","Gender roles and issues",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"2660",2660,"Puberty and initiation",".",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Female",".","Other group (incl. proper names)",".",".",".",".",".",".",".",".",".",".","."
"2661",2661,".",".",".",".",".",".",".",".",".","Hunting and trapping",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"2662",2662,"Hunting and trapping",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Hunting and trapping",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".","Hunters",".",".",".",".",".",".",".",".",".",".","."
"2663",2663,".",".",".","Intra-community relations",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".","Male",".","Hunters",".",".",".",".",".",".",".",".","Aerophone",".","."
"2664",2664,"Drives and emotions",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2665",2665,"Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2666",2666,"Puberty and initiation",".",".","Cultural identity and pride","Interpersonal relations (includes love)",".",".",".",".",".",".",".",".","Afternoon (1400 to 1700)","Afternoon (1400 to 1700)",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Both sexes",".","Children (includes boys and girls)","Adolescents",".",".",".",".",".",".",".",".",".","."
"2667",2667,".",".",".","Cultural identity and pride",".",".","Cultural identity and pride","Intra-community relations",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2668",2668,".",".",".",".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".","Both sexes",".","Hunters",".",".",".",".",".",".",".",".",".",".","."
"2669",2669,"Pregnancy and childbirth",".",".","Infancy and childhood",".",".","Infancy and childhood","Sleeping",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Female",".",".",".","Solo listener","Infant or toddler",".",".","Unmarried","Children (infants & toddlers)",".",".",".","."
"2670",2670,"Disasters",".",".",".",".",".","Peacemaking (maintaining peace)",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Child",".",".",".",".",".",".",".",".","Unmarried","Other group (incl. proper names)",".",".",".",".",".",".",".",".",".",".","."
"2671",2671,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2672",2672,"Death (burials, funerals, mourning)",".",".",".",".",".","Ideas about nature and people",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2673",2673,".",".",".",".",".",".","Gender roles and issues",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2674",2674,"Drives and emotions",".",".",".",".",".","Drives and emotions",".",".","Drives and emotions",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2675",2675,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2676",2676,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2677",2677,"Travel and transportation",".",".",".",".",".","Inter-community relations","Spectacles","Spectacles",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".","Solo listener","Adult",".","Male",".","Adults",".",".",".","."
"2678",2678,".",".",".","Settlements",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2679",2679,"Daily routine",".",".","Infancy and childhood",".",".","Sleeping",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Infant or toddler",".",".","Unmarried","Children (infants & toddlers)",".",".",".","."
"2680",2680,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".","Aerophone",".","."
"2681",2681,".",".",".",".",".",".",".",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)","Adult",".","Circle",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"2682",2682,".",".",".",".",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".","Aerophone",".","."
"2683",2683,".",".",".",".",".",".",".",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2684",2684,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"2685",2685,".",".",".","Infancy and childhood",".",".","Socialization and education","Communication",".","Location","Ideas about nature and people","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Infant or toddler",".",".","Unmarried","Children (infants & toddlers)",".",".",".","."
"2686",2686,"Food consumption",".",".",".",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Early morning (0400 to 0700) (includes daybreak, dawn)",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2687",2687,".",".",".","Dance",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Multiple circles",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2688",2688,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".","Evening (1900 to 2200)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2689",2689,"Drives and emotions",".",".",".",".",".","Ideas about nature and people",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2690",2690,"Death (burials, funerals, mourning)",".",".",".",".",".","Ideas about nature and people",".",".","Drives and emotions","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2691",2691,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2692",2692,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early evening (1700 to 1900) (includes sunset)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"2693",2693,".",".",".","Dance",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2694",2694,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","10 min - 1 hour","No recurrence","Multiple singers (number unknown)","Elder",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2695",2695,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Elder",".","Female",".","Elders",".",".",".","."
"2696",2696,".",".",".","Dance",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2697",2697,".",".",".",".",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2698",2698,"Food consumption","Inter-community relations",".",".",".",".",".",".",".",".",".",".",".","Evening (1900 to 2200)","Early morning (0400 to 0700) (includes daybreak, dawn)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Child","Male","Both married & unmarried","Adults","Children (general, includes ""boys"" or ""girls"")",".",".","."
"2699",2699,"Disasters",".",".",".",".",".","Disasters",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2700",2700,"Puberty and initiation",".",".","Puberty and initiation",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early evening (1700 to 1900) (includes sunset)",".",".","Multiple singers (number unknown)",".",".",".","Entire body",".",".",".",".","Female","Unmarried","Adolescents",".","Multiple singers (number unknown)","Adult",".","Male","Unmarried","Adults",".",".",".","."
"2701",2701,".",".",".",".",".",".",".",".",".","Cultural identity and pride",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"2702",2702,"Sickness, medical care, and shamans",".",".",".",".",".","Ideas about nature and people",".",".","Drives and emotions","Ideas about nature and people",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adult",".","Male",".","Adults",".",".",".","."
"2703",2703,"Puberty and initiation","Menstruation",".","Puberty and initiation",".",".","Spectacles","Socialization and education",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult","Adult",".",".",".",".",".",".","Female",".","Adults","Adolescents",".",".",".",".",".",".",".",".",".","."
"2704",2704,"Puberty and initiation","Menstruation",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2705",2705,".",".",".",".",".",".",".",".",".",".",".",".",".","Midday (1000 to 1400)","Midday (1000 to 1400)",".",".","6-10 singers","Adolescent/young adult",".",".","Entire body",".","Butt & groin",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2706",2706,"Puberty and initiation",".",".","Puberty and initiation",".",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult","Adult",".",".",".",".",".",".","Female",".","Adults","Adolescents",".",".",".",".",".",".",".",".",".","."
"2707",2707,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adolescent/young adult",".",".","Unspecified location",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2708",2708,"Cultural identity and pride",".",".","Cultural identity and pride",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Adults",".",".",".",".",".",".",".",".",".",".","."
"2709",2709,"Drives and emotions","Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2710",2710,"Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".","Drives and emotions",".",".","Drives and emotions","Status, role, and prestige",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2711",2711,"Death (burials, funerals, mourning)",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Male",".","Adults",".","Solo listener","All ages",".","Male",".","Special: Priests/religious figures",".",".",".","."
"2712",2712,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2713",2713,"Puberty and initiation",".",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2714",2714,"Hunting and trapping",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".","Dance",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2715",2715,"Food processing (includes food preparation, storage, and preservation)",".",".","Agriculture",".",".","Ideas about nature and people",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"2716",2716,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2717",2717,".",".",".","Cultural identity and pride",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2718",2718,"Ingroup antagonisms","Intra-community relations",".",".",".",".","Peacemaking (maintaining peace)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2719",2719,"Ingroup antagonisms",".",".",".",".",".","Peacemaking (maintaining peace)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2720",2720,".",".",".",".",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)","1-10 hours","No recurrence","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".","11-20 listeners","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"2721",2721,"Ingroup antagonisms",".",".",".",".",".","Peacemaking (maintaining peace)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".","."
"2722",2722,"Pregnancy and childbirth","Puberty and initiation",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Ideas about nature and people",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2723",2723,".",".",".","Infancy and childhood",".",".","Sleeping",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Infant or toddler",".",".","Unmarried","Children (infants & toddlers)",".",".",".","."
"2724",2724,".",".",".","Games",".",".","Numbers and measures",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
